Date,Open,High,Low,Close
11/3/2020,10334.3,10545.1,10334,10458.4
12/3/2020,10039.95,10040.75,9508,9590.15
13/3/2020,9107.6,10159.4,8555.15,9955.2
16/3/2020,9587.8,9602.2,9165.1,9197.4
17/3/2020,9285.4,9403.8,8915.6,8967.05
18/3/2020,9088.45,9127.55,8407.05,8468.8
19/3/2020,8063.3,8575.45,7832.55,8263.45
20/3/2020,8284.45,8883,8178.2,8745.45
23/3/2020,7945.7,8159.25,7583.6,7610.25
24/3/2020,7848.3,8036.95,7511.1,7801.05
25/3/2020,7735.15,8376.75,7714.75,8317.85
26/3/2020,8451,8749.05,8304.9,8641.45
27/3/2020,8949.1,9038.9,8522.9,8660.25
30/3/2020,8385.95,8576,8244,8281.1
31/3/2020,8529.35,8678.3,8358,8597.75
1/4/2020,8584.1,8588.1,8198.35,8253.8
3/4/2020,8356.55,8356.55,8055.8,8083.8
7/4/2020,8446.3,8819.4,8360.95,8792.2
8/4/2020,8688.9,9131.7,8653.9,8748.75
9/4/2020,8973.05,9128.35,8904.55,9111.9
13/4/2020,9103.95,9112.05,8912.4,8993.85
15/4/2020,9196.4,9261.2,8874.1,8925.3
16/4/2020,8851.25,9053.75,8821.9,8992.8
17/4/2020,9323.45,9324,9091.35,9266.75
20/4/2020,9390.2,9390.85,9230.8,9261.85
21/4/2020,9016.95,9044.4,8909.4,8981.45
22/4/2020,9026.75,9209.75,8946.25,9187.3
23/4/2020,9232.35,9343.6,9170.15,9313.9
24/4/2020,9163.9,9296.9,9141.3,9154.4
27/4/2020,9259.7,9377.1,9250.35,9282.3
28/4/2020,9389.8,9404.4,9260,9380.9
29/4/2020,9408.6,9599.85,9392.35,9553.35
30/4/2020,9753.5,9889.05,9731.5,9859.9
4/5/2020,9533.5,9533.5,9266.95,9293.5
5/5/2020,9429.4,9450.9,9190.75,9205.6
6/5/2020,9226.8,9346.9,9116.5,9270.9
7/5/2020,9234.05,9277.85,9175.9,9199.05
8/5/2020,9376.95,9382.65,9238.2,9251.5
11/5/2020,9348.15,9439.9,9219.95,9239.2
12/5/2020,9168.85,9240.85,9043.95,9196.55
13/5/2020,9584.2,9584.5,9351.1,9383.55
14/5/2020,9213.95,9281.1,9119.75,9142.75
15/5/2020,9182.4,9182.4,9050,9136.85
18/5/2020,9158.3,9158.3,8806.75,8823.25
19/5/2020,8961.7,9030.35,8855.3,8879.1
20/5/2020,8889.15,9093.8,8875.35,9066.55
21/5/2020,9079.45,9178.55,9056.1,9106.25
22/5/2020,9067.9,9149.6,8968.55,9039.25
26/5/2020,9099.75,9161.65,8996.65,9029.05
27/5/2020,9082.2,9334,9004.25,9314.95
28/5/2020,9364.95,9511.25,9336.5,9490.1
